filename,deutsche_num,degree_entropy,intervallic_entropy,npvi,start_date,completion_date,wellness,NOTES (to be deleted)
D/B/RISM452509611-1-1-1.thm,206,2.05881,2.19716,32.5,1815.05,1815.05,well,
D/B/RISM452509629-1-1-1.thm,207,3,2.75,100,1815.05,1815.05,well,
D/ALTbethmannhollweg/RISM452512190-1-1-1.thm,191/2,1.95083,2.61749,81.6773,1815.05,1815.05,well,
D/ALTbethmannhollweg/RISM452512681-1-1-1.thm,191/2,0,0.503258,29.6296,1815.05,1815.05,well,
D/B/RISM452509664-1-1-2.thm,208/2,2.17095,2.72193,55.6667,1815.05,1815.05,well,
D/B/RISM452509665-1-1-1.thm,211,0,1,120,1815.06,1815.06,well,
D/B/RISM452509665-1-1-2.thm,211,1.54879,2.15564,91.1905,1815.06,1815.06,well,
CZ/Pu/RISM550401964-1-1-1.thm,217,2.28064,1.875,92.0635,1815.06,1815.06,well,
D/B/RISM452509610-1-1-1.thm,222,1.53049,1.65774,70.8333,1815.07,1815.07,well,
A/R/RISM600263480-1-1-1.thm,226,1.61401,2.12581,64.5714,1815.07,1815.07,well,
D/B/RISM452509628-1-1-1.thm,227,2,2,44.4444,1815.07,1815.07,well,
D/B/RISM452509628-1-1-2.thm,227,2.69951,2.12809,70.8634,1815.07,1815.07,well,
D/B/RISM452509749-1-1-1.thm,228,1.5,2.25,39.0476,1815.07,1815.07,well,
D/B/RISM452509644-1-1-1.thm,235,1,0.811278,66.6667,1815.07,1815.07,well,
D/B/RISM452509644-1-1-2.thm,235,2.73216,2.22219,71.7749,1815.07,1815.07,well,
D/B/RISM452509672-1-1-1.thm,236,1.29879,2,59.0476,1815.07,1815.07,well,
D/B/RISM452509645-1-1-1.thm,237,2.44644,2.64644,74.0741,1815.07,1815.07,well,
D/B/RISM452509646-1-1-1.thm,238,2.17095,2.12193,41.4815,1815.07,1815.07,well,
D/B/RISM452509646-1-1-2.thm,238,2.17095,2.12193,53.9048,1815.07,1815.07,well,
D/B/RISM452509600-1-1-1.thm,240,2.3656,2.14647,32.381,1815.07,1815.07,well,
D/B/RISM452509601-1-1-1.thm,241,2.66123,2.71929,27.7778,1815.07,1815.07,well,
D/B/RISM452509601-1-1-2.thm,241,2.15564,2.15564,80.4167,1815.07,1815.07,well,
A/R/RISM600263481-1-1-1.thm,225/2,0.811278,1.40564,59.0476,1815.07,1815.07,well,
D/B/RISM452509602-1-1-1.thm,251,2.52193,1.57095,59.2593,1815.08,1815.08,well,
D/B/RISM452509674-1-1-1.thm,253,1.89106,2.50326,60.3529,1815.08,1815.08,well,
D/B/RISM452509743-1-1-1.thm,254,1.37095,1.84644,33.3333,1815.08,1815.08,well,
D/B/RISM452509603-1-1-1.thm,256,2.5,2.5,53.3333,1815.08,1815.08,well,
